dataset,grammar,L,strategy,sampling_strategy,sigma,eb_gamma,T,n_reps,mean_rule1,std_rule1,mean_rule2,std_rule2,mean_both_rules,std_both_rules,mean_format,std_format,n_steps_mean,n_steps_max,deterministic,elapsed_s,n_correct,n_correct_too_low,uniqueness,duplication_rate,mean_lev_dist_normalized,lev_n_used,bigram_diversity,trigram_diversity,dfa_state_coverage,dfa_transition_coverage,n_entropy,n_coverage,m_entropy,nm_joint_coverage,max_depth_ratio_mean,max_depth_ratio_std,brackets_parens_ratio_mean,brackets_parens_ratio_std,n_zero_paren_sequences,distribution_path
unconditional,baN,32,gaussian,greedy,2.0,,1,5,0.002,0.004,1.0,0.0,0.002,0.004,1.0,0.0,1.002,2,False,1.46,,,,,,,,,,,,,,,,,,,,
unconditional,baN,32,uniform,greedy,,,1,5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1,False,2.51,,,,,,,,,,,,,,,,,,,,
unconditional,baN,32,uniform,greedy,,,2,5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,2,False,2.67,,,,,,,,,,,,,,,,,,,,
unconditional,baN,32,uniform,categorical,,,1,5,0.496,0.031369,1.0,0.0,0.496,0.031369,0.456,0.063119,1.0,1,False,2.31,,,,,,,,,,,,,,,,,,,,
unconditional,baN,32,uniform,greedy,,,4,5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,4,False,2.64,,,,,,,,,,,,,,,,,,,,
unconditional,baN,32,gaussian,greedy,20.0,,1,5,0.112,0.026382,1.0,0.0,0.112,0.026382,0.99,0.010954,1.122,2,False,2.1,,,,,,,,,,,,,,,,,,,,
unconditional,baN,32,gaussian,greedy,5.0,,2,5,0.078,0.027857,1.0,0.0,0.078,0.027857,0.984,0.012,2.012,3,False,2.08,,,,,,,,,,,,,,,,,,,,
unconditional,baN,32,gaussian,greedy,5.0,,1,5,0.012,0.007483,1.0,0.0,0.012,0.007483,0.996,0.004899,1.012,2,False,2.22,,,,,,,,,,,,,,,,,,,,
unconditional,baN,32,gaussian,greedy,1.0,,1,5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1,False,2.23,,,,,,,,,,,,,,,,,,,,
unconditional,baN,32,gaussian,greedy,100.0,,1,5,0.284,0.042237,0.992,0.011662,0.284,0.042237,0.984,0.013565,1.348,2,False,2.35,,,,,,,,,,,,,,,,,,,,
unconditional,baN,32,gaussian,greedy,50.0,,1,5,0.218,0.039699,0.998,0.004,0.218,0.039699,0.99,0.012649,1.248,2,False,2.31,,,,,,,,,,,,,,,,,,,,
unconditional,baN,32,gaussian,greedy,10.0,,1,5,0.054,0.018547,1.0,0.0,0.054,0.018547,0.994,0.004899,1.056,2,False,2.72,,,,,,,,,,,,,,,,,,,,
unconditional,baN,32,uniform,categorical,,,2,5,0.458,0.022271,0.838,0.026382,0.388,0.030594,0.514,0.010198,1.66,2,False,3.16,,,,,,,,,,,,,,,,,,,,
unconditional,baN,32,gaussian,greedy,2.0,,2,5,0.394,0.044542,1.0,0.0,0.394,0.044542,0.998,0.004,2.002,3,False,3.48,,,,,,,,,,,,,,,,,,,,
unconditional,baN,32,uniform,categorical,,,4,5,0.47,0.032863,0.89,0.026833,0.426,0.017436,0.756,0.046733,3.526,4,False,3.64,,,,,,,,,,,,,,,,,,,,
unconditional,baN,32,uniform,greedy,,,8,5,0.076,0.026533,0.996,0.004899,0.076,0.026533,0.994,0.004899,7.988,8,False,4.13,,,,,,,,,,,,,,,,,,,,
unconditional,baN,32,gaussian,greedy,1.0,,2,5,0.538,0.041183,1.0,0.0,0.538,0.041183,1.0,0.0,2.0,2,False,3.85,,,,,,,,,,,,,,,,,,,,
