dataset,grammar,L,strategy,sampling_strategy,sigma,eb_gamma,T,n_reps,mean_rule1,std_rule1,mean_rule2,std_rule2,mean_both_rules,std_both_rules,mean_format,std_format,n_steps_mean,n_steps_max,deterministic,elapsed_s,n_correct,n_correct_too_low,uniqueness,duplication_rate,mean_lev_dist_normalized,lev_n_used,bigram_diversity,trigram_diversity,dfa_state_coverage,dfa_transition_coverage,n_entropy,n_coverage,m_entropy,nm_joint_coverage,max_depth_ratio_mean,max_depth_ratio_std,brackets_parens_ratio_mean,brackets_parens_ratio_std,n_zero_paren_sequences,distribution_path
unconditional,parentheses_and_brackets,32,uniform,categorical,,,1,5,0.0,0.0,1.0,0.0,0.0,0.0,0.762,0.029933,1.0,1,False,2191.2,0,True,,,,0,,,,,,,,,,,,,0,results/T-sweep-Dyck/distributions/parentheses_and_brackets_L32_T1_uniform_categorical_none.json
unconditional,parentheses_and_brackets,32,gaussian,greedy,1.0,,1,5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1,False,2197.28,0,True,,,,0,,,,,,,,,,,,,0,results/T-sweep-Dyck/distributions/parentheses_and_brackets_L32_T1_gaussian_greedy_sigma1.0.json
unconditional,parentheses_and_brackets,32,gaussian,greedy,50.0,,1,5,0.164,0.020591,1.0,0.0,0.164,0.020591,0.916,0.024166,1.174,2,False,2197.31,82,False,0.1951219512195122,0.8048780487804879,0.029142201144233666,82,0.0015735641227380016,0.002845528455284553,,,,,,,0.9405487804878049,0.013463050101109524,0.0,0.0,0,results/T-sweep-Dyck/distributions/parentheses_and_brackets_L32_T1_gaussian_greedy_sigma50.0.json
unconditional,parentheses_and_brackets,32,uniform,greedy,,,1,5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1,False,2201.29,0,True,,,,0,,,,,,,,,,,,,0,results/T-sweep-Dyck/distributions/parentheses_and_brackets_L32_T1_uniform_greedy_none.json
unconditional,parentheses_and_brackets,32,gaussian,greedy,10.0,,1,5,0.038,0.017205,1.0,0.0,0.038,0.017205,0.978,0.004,1.04,2,False,2202.09,19,False,0.42105263157894735,0.5789473684210527,0.027777777777777776,19,0.006791171477079796,0.010526315789473684,,,,,,,0.9375,0.0,0.0,0.0,0,results/T-sweep-Dyck/distributions/parentheses_and_brackets_L32_T1_gaussian_greedy_sigma10.0.json
unconditional,parentheses_and_brackets,32,gaussian,greedy,2.0,,1,5,0.0,0.0,1.0,0.0,0.0,0.0,0.998,0.004,1.0,1,False,2203.85,0,True,,,,0,,,,,,,,,,,,,0,results/T-sweep-Dyck/distributions/parentheses_and_brackets_L32_T1_gaussian_greedy_sigma2.0.json
unconditional,parentheses_and_brackets,32,gaussian,greedy,20.0,,1,5,0.096,0.024166,1.0,0.0,0.096,0.024166,0.972,0.011662,1.104,2,False,2206.95,48,False,0.3125,0.6875,0.02917220744680851,48,0.002688172043010753,0.004166666666666667,,,,,,,0.9388020833333334,0.008926633594272194,0.0,0.0,0,results/T-sweep-Dyck/distributions/parentheses_and_brackets_L32_T1_gaussian_greedy_sigma20.0.json
unconditional,parentheses_and_brackets,32,gaussian,greedy,5.0,,1,5,0.004,0.004899,1.0,0.0,0.004,0.004899,0.988,0.009798,1.004,2,False,2219.87,2,True,,,,2,,,,,,,,,0.9375,0.0,0.0,0.0,0,results/T-sweep-Dyck/distributions/parentheses_and_brackets_L32_T1_gaussian_greedy_sigma5.0.json
unconditional,parentheses_and_brackets,32,uniform,categorical,,,2,5,0.002,0.004,1.0,0.0,0.002,0.004,0.248,0.044452,1.25,2,False,2272.18,1,True,1.0,0.0,,1,0.3548387096774194,0.6666666666666666,,,,,,,0.3125,,2.2,,0,results/T-sweep-Dyck/distributions/parentheses_and_brackets_L32_T2_uniform_categorical_none.json
unconditional,parentheses_and_brackets,32,uniform,greedy,,,2,5,0.034,0.014967,1.0,0.0,0.034,0.014967,1.0,0.0,2.0,2,False,2414.85,17,False,1.0,0.0,0.12143841911764706,17,0.007590132827324478,0.01568627450980392,,,,,,,0.5625,0.11741705457846553,0.0,0.0,0,results/T-sweep-Dyck/distributions/parentheses_and_brackets_L32_T2_uniform_greedy_none.json
unconditional,parentheses_and_brackets,32,gaussian,greedy,50.0,,2,5,0.046,0.013565,1.0,0.0,0.046,0.013565,0.688,0.049558,2.02,3,False,2449.12,23,False,1.0,0.0,0.12957015810276679,23,0.005610098176718092,0.011594202898550725,,,,,,,0.5652173913043478,0.1468397400663728,0.0,0.0,0,results/T-sweep-Dyck/distributions/parentheses_and_brackets_L32_T2_gaussian_greedy_sigma50.0.json
unconditional,parentheses_and_brackets,32,gaussian,greedy,1.0,,2,5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,2,False,2488.1,0,True,,,,0,,,,,,,,,,,,,0,results/T-sweep-Dyck/distributions/parentheses_and_brackets_L32_T2_gaussian_greedy_sigma1.0.json
unconditional,parentheses_and_brackets,32,gaussian,greedy,20.0,,2,5,0.012,0.007483,1.0,0.0,0.012,0.007483,0.852,0.022271,2.002,3,False,2492.2,6,False,1.0,0.0,0.13229166666666667,6,0.021505376344086023,0.044444444444444446,,,,,,,0.5208333333333334,0.09991315673568166,0.0,0.0,0,results/T-sweep-Dyck/distributions/parentheses_and_brackets_L32_T2_gaussian_greedy_sigma20.0.json
unconditional,parentheses_and_brackets,32,gaussian,greedy,2.0,,2,5,0.0,0.0,1.0,0.0,0.0,0.0,0.996,0.004899,2.0,2,False,2509.3,0,True,,,,0,,,,,,,,,,,,,0,results/T-sweep-Dyck/distributions/parentheses_and_brackets_L32_T2_gaussian_greedy_sigma2.0.json
unconditional,parentheses_and_brackets,32,gaussian,greedy,10.0,,2,5,0.002,0.004,1.0,0.0,0.002,0.004,0.926,0.014967,2.0,2,False,2574.01,1,True,1.0,0.0,,1,0.12903225806451613,0.26666666666666666,,,,,,,0.5625,,0.0,,0,results/T-sweep-Dyck/distributions/parentheses_and_brackets_L32_T2_gaussian_greedy_sigma10.0.json
unconditional,parentheses_and_brackets,32,gaussian,greedy,5.0,,2,5,0.002,0.004,1.0,0.0,0.002,0.004,0.974,0.018547,2.002,3,False,2578.39,1,True,1.0,0.0,,1,0.12903225806451613,0.2,,,,,,,0.9375,,0.0,,0,results/T-sweep-Dyck/distributions/parentheses_and_brackets_L32_T2_gaussian_greedy_sigma5.0.json
unconditional,parentheses_and_brackets,32,uniform,categorical,,,4,5,0.06,0.018974,1.0,0.0,0.06,0.018974,0.244,0.05748,2.494,4,False,2782.82,30,False,1.0,0.0,0.2696580580002886,30,0.01511879049676026,0.05357142857142857,,,,,,,0.3891666666666667,0.11125130045016036,1.0775060125060125,0.49146752479514544,0,results/T-sweep-Dyck/distributions/parentheses_and_brackets_L32_T4_uniform_categorical_none.json
unconditional,parentheses_and_brackets,32,uniform,greedy,,,4,5,0.11,0.028284,1.0,0.0,0.11,0.028284,0.898,0.017205,3.898,4,False,3066.24,55,False,1.0,0.0,0.13805765993265992,55,0.002346041055718475,0.0048484848484848485,,,,,,,0.4636363636363636,0.10705968830285342,0.0,0.0,0,results/T-sweep-Dyck/distributions/parentheses_and_brackets_L32_T4_uniform_greedy_none.json
unconditional,parentheses_and_brackets,32,gaussian,greedy,1.0,,4,5,0.03,0.02,1.0,0.0,0.03,0.02,0.15,0.025298,2.306,4,False,3712.08,15,False,0.4666666666666667,0.5333333333333333,0.040773809523809525,15,0.008602150537634409,0.017777777777777778,,,,,,,0.4875,0.0338501600193165,0.0,0.0,0,results/T-sweep-Dyck/distributions/parentheses_and_brackets_L32_T4_gaussian_greedy_sigma1.0.json
unconditional,parentheses_and_brackets,32,gaussian,greedy,50.0,,4,5,0.236,0.038262,1.0,0.0,0.236,0.038262,0.39,0.053666,3.53,5,False,237.74,,,,,,,,,,,,,,,,,,,,
unconditional,parentheses_and_brackets,32,gaussian,greedy,20.0,,4,5,0.196,0.032,1.0,0.0,0.196,0.032,0.332,0.050754,3.336,5,False,297.38,,,,,,,,,,,,,,,,,,,,
unconditional,parentheses_and_brackets,32,gaussian,greedy,2.0,,4,5,0.032,0.007483,1.0,0.0,0.032,0.007483,0.066,0.004899,2.144,4,False,307.55,,,,,,,,,,,,,,,,,,,,
unconditional,parentheses_and_brackets,32,gaussian,greedy,5.0,,4,5,0.108,0.027857,1.0,0.0,0.108,0.027857,0.182,0.041183,2.51,5,False,370.57,,,,,,,,,,,,,,,,,,,,
unconditional,parentheses_and_brackets,32,uniform,categorical,,,8,5,0.212,0.050754,1.0,0.0,0.212,0.050754,0.366,0.031369,5.842,8,False,374.52,,,,,,,,,,,,,,,,,,,,
unconditional,parentheses_and_brackets,32,gaussian,greedy,10.0,,4,5,0.178,0.027857,1.0,0.0,0.178,0.027857,0.338,0.060465,3.102,5,False,381.96,,,,,,,,,,,,,,,,,,,,
unconditional,parentheses_and_brackets,32,uniform,greedy,,,8,5,0.282,0.044452,1.0,0.0,0.282,0.044452,0.87,0.031623,7.832,8,False,413.24,,,,,,,,,,,,,,,,,,,,
unconditional,parentheses_and_brackets,32,gaussian,greedy,20.0,,8,5,0.508,0.044,1.0,0.0,0.508,0.044,0.666,0.057827,7.112,9,False,488.3,,,,,,,,,,,,,,,,,,,,
unconditional,parentheses_and_brackets,32,gaussian,greedy,50.0,,8,5,0.526,0.02245,1.0,0.0,0.526,0.02245,0.724,0.021541,7.562,9,False,573.38,,,,,,,,,,,,,,,,,,,,
unconditional,parentheses_and_brackets,32,gaussian,greedy,1.0,,8,5,0.174,0.025768,1.0,0.0,0.174,0.025768,0.178,0.024,5.6,9,False,583.68,,,,,,,,,,,,,,,,,,,,
unconditional,parentheses_and_brackets,32,gaussian,greedy,2.0,,8,5,0.154,0.046303,1.0,0.0,0.154,0.046303,0.212,0.0449,5.548,8,False,584.55,,,,,,,,,,,,,,,,,,,,
unconditional,parentheses_and_brackets,32,gaussian,greedy,10.0,,8,5,0.464,0.076837,1.0,0.0,0.464,0.076837,0.59,0.05933,6.73,9,False,643.49,,,,,,,,,,,,,,,,,,,,
unconditional,parentheses_and_brackets,32,uniform,categorical,,,16,5,0.502,0.061123,1.0,0.0,0.502,0.061123,0.572,0.044,13.194,16,False,647.96,,,,,,,,,,,,,,,,,,,,
unconditional,parentheses_and_brackets,32,gaussian,greedy,5.0,,8,5,0.286,0.028705,1.0,0.0,0.286,0.028705,0.404,0.034986,6.052,9,False,654.31,,,,,,,,,,,,,,,,,,,,
unconditional,parentheses_and_brackets,32,uniform,greedy,,,16,5,0.454,0.048826,1.0,0.0,0.454,0.048826,0.862,0.032496,15.652,16,False,681.12,,,,,,,,,,,,,,,,,,,,
unconditional,parentheses_and_brackets,32,gaussian,categorical,2.0,,1,5,0.0,0.0,1.0,0.0,0.0,0.0,0.752,0.031875,1.0,1,False,198.79,,,,,,,,,,,,,,,,,,,,
unconditional,parentheses_and_brackets,32,gaussian,categorical,1.0,,1,5,0.0,0.0,1.0,0.0,0.0,0.0,0.76,0.027568,1.0,1,False,204.8,,,,,,,,,,,,,,,,,,,,
unconditional,parentheses_and_brackets,32,gaussian,categorical,10.0,,1,5,0.0,0.0,1.0,0.0,0.0,0.0,0.682,0.044452,1.0,1,False,198.68,,,,,,,,,,,,,,,,,,,,
unconditional,parentheses_and_brackets,32,gaussian,categorical,5.0,,1,5,0.0,0.0,1.0,0.0,0.0,0.0,0.74,0.030984,1.0,1,False,205.04,,,,,,,,,,,,,,,,,,,,
unconditional,parentheses_and_brackets,32,gaussian,categorical,20.0,,1,5,0.0,0.0,1.0,0.0,0.0,0.0,0.634,0.047582,1.0,1,False,204.86,,,,,,,,,,,,,,,,,,,,
unconditional,parentheses_and_brackets,32,gaussian,categorical,50.0,,1,5,0.0,0.0,1.0,0.0,0.0,0.0,0.526,0.034409,1.0,1,False,205.28,,,,,,,,,,,,,,,,,,,,
